instance_id,grid,ai_load_mw,ai_bus,base_feasible,m,total_load_mw,siting_cost,sited_buses,n_sites,total_sited_mw,eue_no_storage,eue_with_storage,eue_reduction_mw,eue_reduction_pct,secure_frac_no_storage,secure_frac_with_storage,n_secure_no,n_secure_with,n_outages,max_unserved_no,max_unserved_with,congestion_cost_no,congestion_cost_with,congestion_saving,n_islanding
IEEE-118_v118_core_b4l10_000,IEEE-118,0.0,106,True,40,4100.3711111793245,-16.303062801672755,"{106: 150.0, 75: 100.0}",2,250.0,1.5266047960983884,1.5266047960983884,0.0,0.0,0.946236559139785,0.946236559139785,176,176,186,171.2233426824924,171.2233426824924,115.88892414877772,104.95528453005682,10.933639618720916,9
IEEE-118_v118_core_b4l10_000,IEEE-118,50.0,106,True,40,4150.3711111793245,-16.303062801672755,"{106: 150.0, 75: 100.0}",2,250.0,1.6334503074084314,1.5266047960983884,0.106845511310043,6.541093464885379,0.9408602150537636,0.946236559139785,175,176,186,171.2233426824924,171.2233426824924,110.740969245031,103.55737450002924,7.183594745001756,9
IEEE-118_v118_core_b4l10_000,IEEE-118,100.0,106,True,40,4200.3711111793245,-22.164713330313205,"{106: 100.0, 75: 75.0, 107: 100.0}",3,275.0,1.9022675117095065,1.5266047960983884,0.3756627156111181,19.748153889960623,0.9408602150537636,0.946236559139785,175,176,186,171.2233426824924,171.2233426824924,94.56647910689937,96.1246698167888,-1.558190709889459,9
IEEE-118_v118_core_b4l10_000,IEEE-118,200.0,106,False,40,4300.3711111793245,-16.628762597843366,"{106: 150.0, 75: 100.0}",2,250.0,27.88809753945141,1.633450307408431,26.25464723204298,94.1428406685049,0.0,0.9408602150537636,0,175,186,171.2233426824924,171.2233426824924,39.77745356924424,104.18555504549296,-64.4081014762487,9
IEEE-118_v118_core_b4l10_000,IEEE-118,350.0,106,False,40,4450.371111179324,-16.628762597843366,"{106: 150.0, 75: 100.0}",2,250.0,170.63003302332237,27.888097539451405,142.74193548387098,83.65580956334954,0.0,0.0,0,0,186,319.8732651036679,171.2233426824924,39.77745356922969,29.840695085164043,9.936758484065647,9
IEEE-118_v118_core_b4l10_000,IEEE-118,500.0,106,False,40,4600.371111179324,-16.628762597843366,"{106: 150.0, 75: 100.0}",2,250.0,313.37196850719334,170.63003302332237,142.74193548387098,45.55032033140973,0.0,0.0,0,0,186,469.873265103668,319.8732651036679,39.7774535692588,29.84069508546964,9.936758483789164,9
IEEE-118_v118_core_b4l10_001,IEEE-118,0.0,106,True,40,4118.700563478249,-16.58326897272979,"{106: 125.0, 75: 100.0, 107: 125.0}",3,350.0,1.4059772598385758,1.405977259838577,-8.881784197001252e-16,-6.317160633181929e-14,0.9408602150537636,0.9408602150537636,175,175,186,138.63201221040666,138.63201221040666,112.92598566925152,102.36961761023848,10.55636805901304,9
IEEE-118_v118_core_b4l10_001,IEEE-118,50.0,106,True,40,4168.700563478249,-16.58326897272979,"{106: 125.0, 75: 100.0, 107: 125.0}",3,350.0,1.512143494929172,1.405977259838577,0.1061662350905954,7.020910082053303,0.935483870967742,0.9408602150537636,174,175,186,138.63201221040666,138.63201221040666,105.9699714898452,101.91239909762952,4.057572392215661,9
IEEE-118_v118_core_b4l10_001,IEEE-118,100.0,106,True,40,4218.700563478249,-24.46245879404946,"{106: 150.0, 75: 75.0, 107: 125.0}",3,350.0,1.7809606992302478,1.405977259838575,0.3749834393916729,21.055121516928768,0.935483870967742,0.9408602150537636,174,175,186,138.63201221040666,138.63201221040666,90.6694597522146,110.4479514421546,-19.778491689939983,9
IEEE-118_v118_core_b4l10_001,IEEE-118,200.0,106,False,40,4318.700563478249,-17.826033855177307,"{106: 125.0, 75: 100.0, 107: 125.0}",3,350.0,24.975089042917315,1.6465520970797107,23.328536945837605,93.4072223156031,0.0,0.935483870967742,0,174,186,169.74691972685102,138.63201221040666,33.90570202333038,101.2445648351786,-67.33886281184823,9
IEEE-118_v118_core_b4l10_001,IEEE-118,350.0,106,False,40,4468.70056347825,-17.826033855177307,"{106: 125.0, 75: 100.0, 107: 125.0}",3,350.0,167.7170245267883,48.76541162356251,118.9516129032258,70.92399429267627,0.0,0.0,0,0,186,319.74691972685105,194.74691972685105,33.90570202333038,29.790811858867528,4.1148901644628495,9
IEEE-118_v118_core_b4l10_001,IEEE-118,500.0,106,False,40,4618.70056347825,-17.826033855177307,"{106: 125.0, 75: 100.0, 107: 125.0}",3,350.0,310.4589600106592,191.50734710743345,118.9516129032258,38.31476240825575,0.0,0.0,0,0,186,469.7469197268511,344.74691972685105,33.90570202334493,29.790811858852976,4.114890164491953,9
IEEE-118_v118_core_b4l10_002,IEEE-118,0.0,106,True,40,4246.168613424401,-16.72706110474715,"{106: 150.0, 75: 100.0}",2,250.0,1.9042838978381604,1.90428389783816,4.440892098500626e-16,2.3320535890379327e-14,0.9408602150537636,0.9408602150537636,175,175,186,220.3830344265178,220.3830344265178,120.93287012616928,106.82975578305924,14.103114343110065,9
IEEE-118_v118_core_b4l10_002,IEEE-118,50.0,106,True,40,4296.168613424401,-16.72706110474715,"{106: 150.0, 75: 100.0}",2,250.0,1.9784278567959903,1.90428389783816,0.0741439589578303,3.747620046045269,0.935483870967742,0.9408602150537636,174,175,186,220.3830344265178,220.3830344265178,118.10620205492889,105.58207066496834,12.52413138996053,9
IEEE-118_v118_core_b4l10_002,IEEE-118,100.0,106,True,40,4346.1686134244,-22.38299563872669,"{106: 100.0, 75: 75.0, 107: 100.0}",3,275.0,2.2472450610970656,1.90428389783816,0.3429611632589053,15.261404694843462,0.935483870967742,0.9408602150537636,174,175,186,220.3830344265178,220.3830344265178,100.70212964215898,107.28989678580548,-6.587767143646488,9
IEEE-118_v118_core_b4l10_002,IEEE-118,200.0,106,False,40,4446.168613424401,-16.628762597843366,"{106: 150.0, 75: 100.0}",2,250.0,21.20591168125545,1.9784278567959896,19.227483824459465,90.67039471571135,0.0,0.935483870967742,0,174,186,220.3830344265178,220.3830344265178,41.22306494573422,106.99185330873296,-65.76878836299875,9
IEEE-118_v118_core_b4l10_002,IEEE-118,350.0,106,False,40,4596.168613424401,-16.628762597843366,"{106: 150.0, 75: 100.0}",2,250.0,163.9478471651264,21.20591168125545,142.74193548387095,87.06545279615834,0.0,0.0,0,0,186,313.7907763661564,220.3830344265178,41.22306494573422,31.21899625538208,10.004068690352142,9
IEEE-118_v118_core_b4l10_002,IEEE-118,500.0,106,False,40,4746.168613424401,-16.628762597843366,"{106: 150.0, 75: 100.0}",2,250.0,306.6897826489973,163.94784716512635,142.74193548387098,46.54277499920412,0.0,0.0,0,0,186,463.7907763661564,313.7907763661564,41.22306494573422,31.21899625538208,10.004068690352142,9
IEEE-118_v118_core_b4l10_003,IEEE-118,0.0,106,True,40,4377.690293867479,-16.4956876066991,"{106: 125.0, 75: 100.0, 107: 125.0}",3,350.0,1.8634629421423392,1.8634629421423392,0.0,0.0,0.9408602150537636,0.9408602150537636,175,175,186,183.3062765305841,183.3062765305841,118.53122197675113,124.7950457250554,-6.263823748304276,9
IEEE-118_v118_core_b4l10_003,IEEE-118,50.0,106,True,40,4427.690293867479,-16.4956876066991,"{106: 125.0, 75: 100.0, 107: 125.0}",3,350.0,1.949580396172448,1.8634629421423392,0.0861174540301088,4.417230199851241,0.935483870967742,0.9408602150537636,174,175,186,183.3062765305841,183.3062765305841,112.98021332400094,124.19722646081937,-11.217013136818425,9
IEEE-118_v118_core_b4l10_003,IEEE-118,100.0,106,True,40,4477.690293867479,-24.384416760137505,"{106: 150.0, 75: 75.0, 107: 125.0}",3,350.0,2.218397600473524,1.8634629421423392,0.3549346583311841,15.99959620653314,0.935483870967742,0.9408602150537636,174,175,186,183.3062765305841,183.3062765305841,98.57905531660072,131.53233818491572,-32.953282868315,9
IEEE-118_v118_core_b4l10_003,IEEE-118,200.0,106,False,40,4577.690293867481,-17.826033855177307,"{106: 125.0, 75: 100.0, 107: 125.0}",3,350.0,21.88394047751473,2.083988998322986,19.799951479191744,90.47708523762329,0.0,0.935483870967742,0,174,186,183.3062765305841,183.3062765305841,35.78973244634108,124.91176415268274,-89.12203170634166,9
IEEE-118_v118_core_b4l10_003,IEEE-118,350.0,106,False,40,4727.690293867481,-17.826033855177307,"{106: 125.0, 75: 100.0, 107: 125.0}",3,350.0,164.6258759613857,45.67426305815992,118.9516129032258,72.25572055946225,0.0,0.0,0,0,186,316.0178464496003,191.01784644960028,35.78973244634108,40.773781226816936,-4.98404878047586,9
IEEE-118_v118_core_b4l10_003,IEEE-118,500.0,106,False,40,4877.690293867479,-17.826033855177307,"{106: 125.0, 75: 100.0, 107: 125.0}",3,350.0,307.36781144525673,188.4161985420309,118.95161290322582,38.70008780161793,0.0,0.0,0,0,186,466.0178464496003,341.01784644960026,35.78973244634108,40.773781226802384,-4.984048780461308,9
